Flamethrower,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Jellified fuel,,,,,,,Liquid nitrogen,,,,,,,Scales with (effectiveness%),Notes,"""eff%"" representa la efectividad de un escalado: si es 50%, por ejemplo, el multiplicador se multiplica por 0.5 antes de ser aplicado a la estadistica. Si no hay multiplicador, es porque el multiplicador es 1."
Critical chance %,Total,0.0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,-,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Critical damage %,Total,75.0,75,75,75,75,,,75,75,75,75,75,,,75,75,75,75,75,Critical damage,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Knockback strength,Total,0.0,0,0,0,0,,,0,0,0,0,0,,,0.5,0.5,0.5,0.5,0.5,Knockback,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.0,0.0,0.0,,,
,,,,,,,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,,,
,,,,,,,Puddle radius (m),Total,1.0,1.25,1.5,1.75,3,Freeze duration,Total,2.0,2.5,3,3.5,6,Puddle radius: Projectile area size,,
,,,,,,,,Added,,0.25,0.25,0.25,1.25,,Added,,0.5,0.5,0.5,2.5,,,
,,,,,,,Puddle duration (s),Total,3.0,3.5,4,4.5,5,,,,,,,,,,
,,,,,,,,Added,,0.5,0.5,0.5,0.5,,,,,,,,,,


Rocket Launcher,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Kinetic explosion,,,,,,,Fragmentation cap,,,,,,,Scales with,Notes,
,,Base,2.0,3.0,4.0,5.0,,,6.0,7.0,8.0,9.0,10.0,,,6.0,7.0,8.0,9.0,10.0,,,
Damage,Total,70.0,80,90,100,110,,,130,150,170,190,250,,,120,130,140,150,175,"Damage multiplier
Elite damage multiplier*",*conditional,
,Added,,10.0,10.0,10.0,10.0,,,20.0,20.0,20.0,20.0,60.0,,,10.0,10.0,10.0,10.0,25.0,,,
Auto mode range (m),Total,20.0,20,20,20,20,,,25,25,25,25,25,,,25,25,25,25,25,-,,
,Added,,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0.0,,,
Auto explosion size,Total,1.0,1.125,1.25,1.375,1.5,,,2,2.25,2.5,2.75,3.5,,,0.75,0.875,1,1.125,1.25,Projectile area size,,
,Added,,0.125,0.125,0.125,0.125,,,0.5,0.25,0.25,0.25,0.75,,,-0.75,0.125,0.125,0.125,0.125,,,
Manual range (m),Total,40.0,40,40,40,40,,,50,50,50,50,50,,,50,50,50,50,50,-,,
,Added,,0.0,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,0.0,,,
Manual explosion size,Total,2.0,2.25,2.5,2.75,3,,,3.5,3.75,4,4.25,5,,,1.5,1.625,1.75,1.875,2,Projectile area size,,
,Added,,0.25,0.25,0.25,0.25,,,0.5,0.25,0.25,0.25,0.75,,,-1.5,0.125,0.125,0.125,0.125,,,
Manual ammo,Total,40.0,45,50,55,60,,,70,75,80,85,100,,,70,75,80,85,100,Ammo multiplier,,
,Added,,5.0,5.0,5.0,5.0,,,10.0,5.0,5.0,5.0,15.0,,,10.0,5.0,5.0,5.0,15.0,,,
Attack speed,Total,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,Attack speed multiplier,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Ability explosion size,Total,0.5,0.5,0.5,0.5,0.5,,,1,1.125,1.25,1.375,1.75,,,0.5,0.625,0.75,0.875,1,Projectile area size (50%),,
,Added,,0.0,0.0,0.0,0.0,,,0.5,0.125,0.125,0.125,0.375,,,0.0,0.125,0.125,0.125,0.125,,,
Ability damage,Total,70.0,80,90,100,110,,,130,150,170,190,250,,,120,130,140,150,175,"Damage multiplier
Elite damage multiplier*
Ability damage multiplier",*conditional,
,Added,,10.0,10.0,10.0,10.0,,,20.0,20.0,20.0,20.0,60.0,,,10.0,10.0,10.0,10.0,25.0,,,
Ability cooldown (s),Total,8.0,8,8,8,7,,,7,7,7,6,4,,,7,7,7,6,4,Ability cooldown reduction,,
,Added,,0.0,0.0,0.0,-1.0,,,0.0,0.0,0.0,-1.0,-2.0,,,0.0,0.0,0.0,-1.0,-2.0,,,
Critical chance %,Total,0.0,0,0,0,10,,,10,10,10,10,10,,,10,10,10,10,10,Critical Chance,,
,Added,,0.0,0.0,0.0,10.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Critical damage %,Total,100.0,100,100,100,100,,,100,100,100,100,100,,,100,100,100,100,100,Critical damage,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Knockback strength,Total,1.5,1.5,1.5,1.5,1.5,,,6,6,6,6,6,,,0.75,0.75,0.75,0.75,0.75,Knockback (50%),,
,Added,,0.0,0.0,0.0,0.0,,,4.5,0.0,0.0,0.0,0.0,,,-0.75,0.0,0.0,0.0,0.0,,,
,,,,,,,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,,,
,,,,,,,Debuff duration,Total,5.0,6,7,8,10,Cone size multiplier,Total,2.0,2,2,2,5,-,,
,,,,,,,,Added,,1.0,1.0,1.0,2.0,,Added,,0.0,0.0,0.0,3.0,,,
,,,,,,,Debuff damage multiplier,Total,1.25,1.35,1.45,1.55,3,,,,0,0,0,0,-,,
,,,,,,,,Added,,0.1,0.1,0.1,1.45,,,,,,,,,,


Mortar,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Grapeshot,,,,,,,Multi-charged shells,,,,,,,Scales with,Notes,
,,Base,2.0,3.0,4.0,5.0,,,6.0,7.0,8.0,9.0,10.0,,,6.0,7.0,8.0,9.0,10.0,,,
Damage,Total,100.0,125,150,175,200,,,100,112.5,125,137.5,200,,,225,250,275,300,400,"Damage multiplier
Elite damage multiplier*",*conditional,
,Added,,25.0,25.0,25.0,25.0,,,-100.0,12.5,12.5,12.5,62.5,,,25.0,25.0,25.0,25.0,100.0,,,
Auto mode range (m),Total,30.0,30,30,30,30,,,30,30,30,30,30,,,25,25,25,25,25,-,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-5.0,0.0,0.0,0.0,0.0,,,
Auto explosion size,Total,0.5,0.5,0.5,0.5625,0.625,,,0,0,0,0,0,,,0.6875,0.75,0.8125,0.875,1.5,Projectile area size,,
,Added,,0.0,0.0,0.0625,0.0625,,,-0.625,0.0,0.0,0.0,0.0,,,0.0625,0.0625,0.0625,0.0625,0.625,,,
Auto attack speed,Total,0.25,0.25,0.25,0.25,0.25,,,0.33,0.33,0.33,0.33,0.33,,,0.33,0.33,0.33,0.33,0.33,Attack speed multiplier,,
,Added,,0.0,0.0,0.0,0.0,,,0.08,0.0,0.0,0.0,0.0,,,0.08,0.0,0.0,0.0,0.0,,,
Manual range (m),Total,40.0,40,40,40,40,,,40,40,40,40,40,,,35,35,35,35,35,-,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-5.0,0.0,0.0,0.0,0.0,,,
Manual explosion size,Total,0.75,0.75,0.75,0.875,1,,,0,0,0,0,0,,,1.125,1.25,1.375,1.5,2,Projectile area size,,
,Added,,0.0,0.0,0.125,0.125,,,-1.0,0.0,0.0,0.0,0.0,,,0.125,0.125,0.125,0.125,0.5,,,
Manual attack speed,Total,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,Attack speed multiplier,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Manual ammo,Total,15.0,16,17,18,20,,,21,22,23,24,30,,,21,22,23,24,30,Ammo multiplier,,
,Added,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,6.0,,,1.0,1.0,1.0,1.0,6.0,,,
Ability radius (m),Total,4.0,4.25,4.5,4.75,5,,,7,7.25,7.5,7.75,9,,,7,7.25,7.5,7.75,8,Projectile area size (50%),,
,Added,,0.25,0.25,0.25,0.25,,,2.0,0.25,0.25,0.25,1.25,,,2.0,0.25,0.25,0.25,0.25,,,
Ability damage,Total,100.0,125,150,175,200,,,100,112.5,125,137.5,200,,,225,250,275,300,400,"Damage multiplier
Elite damage multiplier*
Ability damage multiplier","Damage per each of the spawned shells 
*conditional",
,Added,,25.0,25.0,25.0,25.0,,,-100.0,12.5,12.5,12.5,62.5,,,25.0,25.0,25.0,25.0,100.0,,,
Ability cooldown (s),Total,10.0,10,10,10,10,,,10,9,9,8,6,,,10,9,9,8,6,Ability cooldown reduction,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,-1.0,0.0,-1.0,-2.0,,,0.0,-1.0,0.0,-1.0,-2.0,,,
Critical chance %,Total,,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,Critical Chance,,
,Added,,,,,,,,,,,,,,,,,,,,,,
Critical damage %,Total,75.0,75,75,75,75,,,75,75,75,75,75,,,75,75,75,75,75,Critical damage,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Knockback strength,Total,1.0,1,1,1,1,,,0.75,0.75,0.75,0.75,0.75,,,1.5,1.5,1.5,1.5,2,Knockback (50%),,
,Added,,0.0,0.0,0.0,0.0,,,-0.25,0.0,0.0,0.0,0.0,,,0.5,0.0,0.0,0.0,0.5,,,
,,,,,,,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,,,
,,,,,,,Projectile explosions,Total,3.0,3,4,4,8,Extra projectile number,Total,15.0,18,21,24,30,-,,
,,,,,,,,Added,,0.0,1.0,0.0,4.0,,Added,,3.0,3.0,3.0,6.0,,,
,,,,,,,,Total,,0,0,0,0,Ability projectiles per second,Total,10.0,10,10,10,10,-,,
,,,,,,,,Added,,,,,,,Added,,0.0,0.0,0.0,0.0,,,


Automatic Cannon,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Continuous Fire,,,,,,,Head hunter,,,,,,,,,
,,Base,2.0,3.0,4.0,5.0,,,6.0,7.0,8.0,9.0,10.0,,,6.0,7.0,8.0,9.0,10.0,,,
Damage,Total,20.0,25,30,35,40,,,45,55,60,70,100,,,300,340,380,420,600,"Damage multiplier
Elite damage multiplier*","damage per bullet
*conditional",
,Added,,5.0,5.0,5.0,5.0,,,5.0,10.0,5.0,10.0,30.0,,,260.0,40.0,40.0,40.0,180.0,,,
Auto mode range (m),Total,25.0,25,25,25,25,,,25,25,25,25,25,,,50,50,50,50,50,-,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,25.0,0.0,0.0,0.0,0.0,,,
Auto attack speed,Total,0.75,0.85,0.95,1.05,1.25,,,3.5,4,4.5,5,10,,,0.5,0.6,0.7,0.8,1.9,Attack speed multiplier,"basic: bursts per second
cont. fire/head hunter: bullets per second",
,Added,,0.1,0.1,0.1,0.2,,,2.25,0.5,0.5,0.5,5.0,,,-0.75,0.1,0.1,0.1,1.1,,,
Manual range (m),Total,40.0,45,50,55,60,,,60,60,60,60,60,,,120,120,120,120,120,-,,
,Added,,5.0,5.0,5.0,5.0,,,0.0,0.0,0.0,0.0,0.0,,,60.0,0.0,0.0,0.0,0.0,,,
Manual attack speed,Total,1.0,1.1,1.2,1.3,1.5,,,6,6.75,7.5,8.25,11,,,0.75,0.85,0.95,1.05,2,Attack speed multiplier,"basic: bursts per second
cont. fire/head hunter: bullets per second",
,Added,,0.1,0.1,0.1,0.2,,,4.5,0.75,0.75,0.75,2.75,,,-0.75,0.1,0.1,0.1,0.95,,,
Manual ammo,Total,200.0,220,240,260,280,,,400,440,480,520,600,,,40,45,50,55,80,Ammo multiplier,,
,Added,,20.0,20.0,20.0,20.0,,,120.0,40.0,40.0,40.0,80.0,,,-240.0,5.0,5.0,5.0,25.0,,,
Ability cooldown (s),Total,6.0,5.5,5,4.5,4,,,3.75,3.5,3.25,3,2,,,3.75,3.5,3.25,3,2,Ability cooldown reduction,,
,Added,,-0.5,-0.5,-0.5,-0.5,,,-0.25,-0.25,-0.25,-0.25,-1.0,,,-0.25,-0.25,-0.25,-0.25,-1.0,,,
Ability damage,Total,20.0,25,30,35,40,,,45,55,60,70,100,,,1500,1700,1900,2100,3000,"Damage multiplier
Elite damage multiplier*
Ability damage multiplier","damage per bullet
*conditional",
,Added,,5.0,5.0,5.0,5.0,,,5.0,10.0,5.0,10.0,30.0,,,1460.0,200.0,200.0,200.0,900.0,,,
Critical chance %,Total,5.0,10,15,20,25,,,30,35,40,45,60,,,35,45,55,65,90,Critical Chance,,
,Added,,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,15.0,,,10.0,10.0,10.0,10.0,25.0,,,
Critical damage %,Total,100.0,100,100,100,100,,,100,100,100,100,100,,,110,120,130,140,150,Critical Damage,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,10.0,10.0,10.0,10.0,10.0,,,
Knockback strength,Total,0.2,0.2,0.2,0.2,0.2,,,0.05,0.07,0.09,0.11,0.25,,,0.5,0.6,0.7,0.8,0.9,Knockback,,
,Added,,0.0,0.0,0.0,0.0,,,-0.15,0.02,0.02,0.02,0.14,,,0.3,0.1,0.1,0.1,0.1,,,
,,,,,,,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,,,
,,,,,,,Ability projetiles per second,Total,40.0,40,40,40,80,Weak point multiplier,Total,2.5,3,3.5,4,6,,,
,,,,,,,,Added,,0.0,0.0,0.0,40.0,,Added,,0.5,0.5,0.5,2.0,,,
,,,,,,,,Total,,0,0,0,0,,,,0,0,0,0,,,
,,,,,,,,Added,,,,,,,,,,,,,,,


Rotating blade,,,,,,,,,,,,,,,,,,,,,,,
Basic,,,,,,,Multi-blade,,,,,,,Atomic sharpness,,,,,,,,,
,,Base,2.0,3.0,4.0,5.0,,,6.0,7.0,8.0,9.0,10.0,,,6.0,7.0,8.0,9.0,10.0,,,
Damage,Total,60.0,70,80,90,115,,,55,55,55,55,65,,,215,235,255,275,295,"Damage multiplier
Elite damage multiplier*",*conditional,
,Added,,10.0,10.0,10.0,25.0,,,-60.0,0.0,0.0,0.0,10.0,,,100.0,20.0,20.0,20.0,20.0,,,
Auto blade length (m),Total,2.0,2.25,2.5,2.75,3,,,3.25,3.5,3.75,4,6,,,3.125,3.25,3.375,3.5,5,Projectile area size,the blade orbits with it's base .25m away from the player,
,Added,,0.25,0.25,0.25,0.25,,,0.25,0.25,0.25,0.25,2.0,,,0.125,0.125,0.125,0.125,1.5,,,
Auto blade rotation per second,Total,0.25,0.3,0.35,0.4,0.5,,,0.6,0.7,0.8,0.9,2,,,0.65,0.8,0.95,1.1,1.5,Attack speed multiplier,,
,Added,,0.05,0.05,0.05,0.1,,,0.1,0.1,0.1,0.1,1.1,,,0.15,0.15,0.15,0.15,0.4,,,
Manual range (m),Total,3.0,3.5,4,4.5,5,,,5.25,5.5,5.75,6,10,,,5.5,6,6.5,7,10,Projectile area size,,
,Added,,0.5,0.5,0.5,0.5,,,0.25,0.25,0.25,0.25,4.0,,,0.5,0.5,0.5,0.5,3.0,,,
Manual ammo,Total,50.0,55,60,65,75,,,80,85,90,95,120,,,80,85,90,95,120,Ammo multiplier,,
,Added,,5.0,5.0,5.0,10.0,,,5.0,5.0,5.0,5.0,25.0,,,5.0,5.0,5.0,5.0,25.0,,,
Ability length (m),Total,10.0,10.5,11,11.5,12,,,12.5,13,13.5,14,20,,,2,2.5,3,3.5,4,Projectile area size,,
,Added,,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,6.0,,,-10.0,0.5,0.5,0.5,0.5,,,
Ability radius (m),Total,0.5,0.6,0.7,0.8,1,,,1.1,1.2,1.3,1.4,1.7,,,2,2,2,2,2,Projectile area size,,
,Added,,0.1,0.1,0.1,0.2,,,0.1,0.1,0.1,0.1,0.3,,,1.0,0.0,0.0,0.0,0.0,,,
Ability damage,Total,200.0,225,250,275,325,,,200,200,200,200,200,,,325,355,385,415,445,"Damage multiplier
Elite damage multiplier*
Ability damage multiplier",*conditional,
,Added,,25.0,25.0,25.0,50.0,,,-125.0,0.0,0.0,0.0,0.0,,,0.0,30.0,30.0,30.0,30.0,,,
Ability cooldown (s),Total,5.0,5,4.5,4.5,4,,,4,3.5,3.5,3,2,,,2,1.75,1.75,1.5,1,Ability cooldown reduction,,
,Added,,0.0,-0.5,0.0,-0.5,,,0.0,-0.5,0.0,-0.5,-1.0,,,-2.0,-0.25,,-0.25,-0.5,,,
Critical chance %,Total,5.0,7.5,10,12.5,15,,,17.5,20,22.5,25,40,,,30,35,40,45,65,Critical Chance,,
,Added,,2.5,2.5,2.5,2.5,,,2.5,2.5,2.5,2.5,15.0,,,15.0,5.0,5.0,5.0,20.0,,,
Critical damage %,Total,100.0,100,100,100,100,,,100,100,100,100,100,,,100,100,100,100,100,Critical damage,,
,Added,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,
Knockback strength,Total,0.3,0.3,0.3,0.3,0.3,,,0.15,0.15,0.15,0.15,0.15,,,0,0,0,0,0,Knockback,50% extra in auto mode,
,Added,,0.0,0.0,0.0,0.0,,,-0.15,0.0,0.0,0.0,0.0,,,-0.3,0,0.0,0.0,0.0,,,
,,,,,,,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,Upgrade-specific stats,,Base,7.0,8.0,9.0,10.0,,,
,,,,,,,Extra blades,Total,1.0,2,3,4,8,,Total,,0,0,0,0,,,
,,,,,,,,Added,,1.0,1.0,1.0,4.0,,Added,,,,,,,,
,,,,,,,,Total,,0,0,0,0,,,,0,0,0,0,,,
,,,,,,,,Added,,,,,,,,,,,,,,,






































































































































































































































































































































































































































































































































































































































































































































































































































































































